

T25 Train76 AimedDepartureTime=13426 WaitTime=60 BaseTime=13426 RunTime=217	OptSolTime=13426
T24 Train76 AimedDepartureTime=13643 WaitTime=0 BaseTime=13643 RunTime=143	OptSolTime=13643
T23 Train76 AimedDepartureTime=13816 WaitTime=30 BaseTime=13816 RunTime=210	OptSolTime=13816
T22 Train76 AimedDepartureTime=14056 WaitTime=30 BaseTime=14056 RunTime=150	OptSolTime=14056
T21 Train76 AimedDepartureTime=14236 WaitTime=30 BaseTime=14236 RunTime=150	OptSolTime=14236
T20 Train76 AimedDepartureTime=14386 WaitTime=0 BaseTime=14386 RunTime=45	OptSolTime=14386
T19 Train76 AimedDepartureTime=14431 WaitTime=0 BaseTime=14431 RunTime=195	OptSolTime=14431
T18 Train76 AimedDepartureTime=14686 WaitTime=60 BaseTime=14686 RunTime=300	OptSolTime=14686
T17 Train76 AimedDepartureTime=15016 WaitTime=30 BaseTime=15016 RunTime=210	OptSolTime=15016
T16 Train76 AimedDepartureTime=15256 WaitTime=30 BaseTime=15256 RunTime=210	OptSolTime=15256
T15 Train76 AimedDepartureTime=15496 WaitTime=30 BaseTime=15496 RunTime=150	OptSolTime=15496
T14 Train76 AimedDepartureTime=15676 WaitTime=30 BaseTime=15676 RunTime=201	OptSolTime=15676
T13 Train76 AimedDepartureTime=15877 WaitTime=0 BaseTime=15877 RunTime=83	OptSolTime=15877
T12 Train76 AimedDepartureTime=15960 WaitTime=0 BaseTime=15960 RunTime=166	OptSolTime=15960
T11 Train76 AimedDepartureTime=16166 WaitTime=40 BaseTime=16166 RunTime=700	OptSolTime=16166
T10 Train76 AimedDepartureTime=17046 WaitTime=180 BaseTime=17046 RunTime=420	OptSolTime=17046
T9 Train76 AimedDepartureTime=17466 WaitTime=0 BaseTime=17466 RunTime=240	OptSolTime=17466
T8 Train76 AimedDepartureTime=17736 WaitTime=30 BaseTime=17736 RunTime=270	OptSolTime=17736
T7 Train76 AimedDepartureTime=18006 WaitTime=0 BaseTime=18006 RunTime=180	OptSolTime=18006
T6 Train76 AimedDepartureTime=18186 WaitTime=0 BaseTime=18186 RunTime=480	OptSolTime=18186

TrainId=77 Delay=0 FreeRun=14976 	Final Delay=1080
T6 Train77 AimedDepartureTime=11386 WaitTime=0 BaseTime=11386 RunTime=300	OptSolTime=11746
T7 Train77 AimedDepartureTime=11686 WaitTime=0 BaseTime=11686 RunTime=180	OptSolTime=12046
