

T15 Train19 AimedDepartureTime=3886 WaitTime=0 BaseTime=3886 RunTime=148	OptSolTime=3886
T16 Train19 AimedDepartureTime=4034 WaitTime=0 BaseTime=4034 RunTime=92	OptSolTime=4034
T17 Train19 AimedDepartureTime=4126 WaitTime=0 BaseTime=4126 RunTime=360	OptSolTime=4126
T18 Train19 AimedDepartureTime=4546 WaitTime=60 BaseTime=4546 RunTime=300	OptSolTime=4546
T19 Train19 AimedDepartureTime=4846 WaitTime=0 BaseTime=4846 RunTime=180	OptSolTime=4846
T20 Train19 AimedDepartureTime=5026 WaitTime=0 BaseTime=5026 RunTime=114	OptSolTime=5026
T21 Train19 AimedDepartureTime=5140 WaitTime=0 BaseTime=5140 RunTime=126	OptSolTime=5140
T22 Train19 AimedDepartureTime=5266 WaitTime=0 BaseTime=5266 RunTime=240	OptSolTime=5266
T23 Train19 AimedDepartureTime=5506 WaitTime=0 BaseTime=5506 RunTime=300	OptSolTime=5506

TrainId=20 Delay=0 FreeRun=9166 	Final Delay=19115
T27 Train20 AimedDepartureTime=2146 WaitTime=0 BaseTime=2146 RunTime=135	OptSolTime=2146
T26 Train20 AimedDepartureTime=2281 WaitTime=0 BaseTime=2281 RunTime=165	OptSolTime=2281
T25 Train20 AimedDepartureTime=2476 WaitTime=30 BaseTime=2476 RunTime=450	OptSolTime=2476
T24 Train20 AimedDepartureTime=2956 WaitTime=30 BaseTime=2956 RunTime=330	OptSolTime=2956
T23 Train20 AimedDepartureTime=3316 WaitTime=30 BaseTime=3316 RunTime=330	OptSolTime=3316
T22 Train20 AimedDepartureTime=3676 WaitTime=30 BaseTime=3676 RunTime=450	OptSolTime=4096
T21 Train20 AimedDepartureTime=4306 WaitTime=180 BaseTime=4306 RunTime=300	OptSolTime=4726
T20 Train20 AimedDepartureTime=4636 WaitTime=30 BaseTime=4636 RunTime=210	OptSolTime=7756
T19 Train20 AimedDepartureTime=4846 WaitTime=0 BaseTime=4846 RunTime=180	OptSolTime=21826
T18 Train20 AimedDepartureTime=5026 WaitTime=0 BaseTime=5026 RunTime=180	OptSolTime=22006
T17 Train20 AimedDepartureTime=5206 WaitTime=0 BaseTime=5206 RunTime=300	OptSolTime=22186
T16 Train20 AimedDepartureTime=5536 WaitTime=30 BaseTime=5536 RunTime=150	OptSolTime=22516
T15 Train20 AimedDepartureTime=5716 WaitTime=30 BaseTime=5716 RunTime=450	OptSolTime=22696
T14 Train20 AimedDepartureTime=6346 WaitTime=180 BaseTime=6346 RunTime=420	OptSolTime=23326
T13 Train20 AimedDepartureTime=6796 WaitTime=30 BaseTime=6796 RunTime=510	OptSolTime=23776
T12 Train20 AimedDepartureTime=7486 WaitTime=180 BaseTime=7486 RunTime=300	OptSolTime=24466
T11 Train20 AimedDepartureTime=7816 WaitTime=30 BaseTime=7816 RunTime=210	OptSolTime=24796
T10 Train20 AimedDepartureTime=8026 WaitTime=0 BaseTime=8026 RunTime=300	OptSolTime=25006
T9 Train20 AimedDepartureTime=8356 WaitTime=30 BaseTime=8356 RunTime=150	OptSolTime=27471
T8 Train20 AimedDepartureTime=8536 WaitTime=30 BaseTime=8536 RunTime=210	OptSolTime=27651
T7 Train20 AimedDepartureTime=8776 WaitTime=30 BaseTime=8776 RunTime=90	OptSolTime=27891
T5 Train20 AimedDepartureTime=8866 WaitTime=0 BaseTime=8866 RunTime=60	OptSolTime=27981
T3 Train20 AimedDepartureTime=8956 WaitTime=30 BaseTime=8956 RunTime=210	OptSolTime=28071
